format,metric,year,number_of_records,value_actual
Cassette Single,Units,1980,1,
Cassette Single,Units,1981,1,
Cassette Single,Units,1982,1,
Cassette Single,Units,1983,1,
Cassette Single,Units,1984,1,
Cassette Single,Units,1985,1,
Cassette Single,Units,1986,1,
Cassette Single,Units,1987,1,5.1
Cassette Single,Units,1988,1,22.5
Cassette Single,Units,1989,1,76.2
Cassette Single,Units,1990,1,87.4
Cassette Single,Units,1991,1,69
Cassette Single,Units,1992,1,84.6
Cassette Single,Units,1993,1,85.6
Cassette Single,Units,1994,1,81.1
Cassette Single,Units,1995,1,70.7
Cassette Single,Units,1996,1,59.9
Cassette Single,Units,1997,1,42.2
Cassette Single,Units,1998,1,26.4
Cassette Single,Units,1999,1,14.2
Cassette Single,Units,2000,1,1.3
Cassette Single,Units,2001,1,-1.5
Cassette Single,Units,2002,1,-0.5
Cassette Single,Units,2003,1,0
Cassette Single,Units,2004,1,0
Cassette Single,Units,2005,1,0
Cassette Single,Units,2006,1,0
Cassette Single,Units,2007,1,0
Cassette Single,Units,2008,1,0
Cassette Single,Units,2009,1,0
Cassette Single,Units,2010,1,0
Cassette Single,Units,2011,1,0
Cassette Single,Units,2012,1,
Cassette Single,Units,2013,1,
Cassette Single,Units,2014,1,
Cassette Single,Units,2015,1,
Cassette Single,Units,2016,1,
Cassette Single,Units,2017,1,
Cassette Single,Units,2018,1,
Cassette Single,Units,2019,1,
LP/EP,Units,1973,1,280
LP/EP,Units,1974,1,276
LP/EP,Units,1975,1,257
LP/EP,Units,1976,1,273
LP/EP,Units,1977,1,344
LP/EP,Units,1978,1,341.3
LP/EP,Units,1979,1,290
LP/EP,Units,1980,1,308
LP/EP,Units,1981,1,295.2
LP/EP,Units,1982,1,243.9
LP/EP,Units,1983,1,209.6
LP/EP,Units,1984,1,204.6
LP/EP,Units,1985,1,167
LP/EP,Units,1986,1,125.2
LP/EP,Units,1987,1,107
LP/EP,Units,1988,1,72.4
LP/EP,Units,1989,1,34.6
LP/EP,Units,1990,1,11.7
LP/EP,Units,1991,1,4.8
LP/EP,Units,1992,1,2.3
LP/EP,Units,1993,1,1.2
LP/EP,Units,1994,1,1.9
LP/EP,Units,1995,1,2.2
LP/EP,Units,1996,1,2.9
LP/EP,Units,1997,1,2.7
LP/EP,Units,1998,1,3.4
LP/EP,Units,1999,1,2.9
LP/EP,Units,2000,1,2.2
LP/EP,Units,2001,1,2.3
LP/EP,Units,2002,1,1.743
LP/EP,Units,2003,1,1.5
LP/EP,Units,2004,1,1.4
LP/EP,Units,2005,1,1
LP/EP,Units,2006,1,0.9
LP/EP,Units,2007,1,1.3
LP/EP,Units,2008,1,2.9
LP/EP,Units,2009,1,3.5
LP/EP,Units,2010,1,4.2
LP/EP,Units,2011,1,5.5
LP/EP,Units,2012,1,6.915365189
LP/EP,Units,2013,1,9.35128587
LP/EP,Units,2014,1,10.315563906
LP/EP,Units,2015,1,13.68102972
LP/EP,Units,2016,1,14.770886026
LP/EP,Units,2017,1,15.556089168
LP/EP,Units,2018,1,16.670127326
LP/EP,Units,2019,1,19.103162826
Vinyl Single,Units,1973,1,228
Vinyl Single,Units,1974,1,204
Vinyl Single,Units,1975,1,164
Vinyl Single,Units,1976,1,190
Vinyl Single,Units,1977,1,190
Vinyl Single,Units,1978,1,190
Vinyl Single,Units,1979,1,212
Vinyl Single,Units,1980,1,157
Vinyl Single,Units,1981,1,154.7
Vinyl Single,Units,1982,1,137.2
Vinyl Single,Units,1983,1,124.8
Vinyl Single,Units,1984,1,131.5
Vinyl Single,Units,1985,1,120.7
Vinyl Single,Units,1986,1,93.9
Vinyl Single,Units,1987,1,82
Vinyl Single,Units,1988,1,65.6
Vinyl Single,Units,1989,1,36.6
Vinyl Single,Units,1990,1,27.6
Vinyl Single,Units,1991,1,22
Vinyl Single,Units,1992,1,19.8
Vinyl Single,Units,1993,1,15.1
Vinyl Single,Units,1994,1,11.7
Vinyl Single,Units,1995,1,10.2
Vinyl Single,Units,1996,1,10.1
Vinyl Single,Units,1997,1,7.5
Vinyl Single,Units,1998,1,5.4
Vinyl Single,Units,1999,1,5.3
Vinyl Single,Units,2000,1,4.8
Vinyl Single,Units,2001,1,5.5
Vinyl Single,Units,2002,1,4.4
Vinyl Single,Units,2003,1,3.8
Vinyl Single,Units,2004,1,3.5
Vinyl Single,Units,2005,1,2.3
Vinyl Single,Units,2006,1,1.5
Vinyl Single,Units,2007,1,0.6
Vinyl Single,Units,2008,1,0.4
Vinyl Single,Units,2009,1,0.3
Vinyl Single,Units,2010,1,0.3
Vinyl Single,Units,2011,1,0.4
Vinyl Single,Units,2012,1,0.388573687
Vinyl Single,Units,2013,1,0.315817054
Vinyl Single,Units,2014,1,0.481198278
Vinyl Single,Units,2015,1,0.50786991
Vinyl Single,Units,2016,1,0.404330651
Vinyl Single,Units,2017,1,0.402959365
Vinyl Single,Units,2018,1,0.346165002
Vinyl Single,Units,2019,1,0.336120488
8 - Track,Units,1973,1,91
8 - Track,Units,1974,1,96.7
8 - Track,Units,1975,1,94.6
8 - Track,Units,1976,1,106.1
8 - Track,Units,1977,1,127.3
8 - Track,Units,1978,1,133.6
8 - Track,Units,1979,1,102.3
8 - Track,Units,1980,1,85
8 - Track,Units,1981,1,50
8 - Track,Units,1982,1,13.7
8 - Track,Units,1983,1,0
8 - Track,Units,1984,1,0
8 - Track,Units,1985,1,0
8 - Track,Units,1986,1,0
8 - Track,Units,1987,1,0
8 - Track,Units,1988,1,0
8 - Track,Units,1989,1,0
8 - Track,Units,1990,1,0
8 - Track,Units,1991,1,0
8 - Track,Units,1992,1,0
8 - Track,Units,1993,1,0
8 - Track,Units,1994,1,0
8 - Track,Units,1995,1,0
8 - Track,Units,1996,1,0
8 - Track,Units,1997,1,0
8 - Track,Units,1998,1,0
8 - Track,Units,1999,1,0
8 - Track,Units,2000,1,0
8 - Track,Units,2001,1,0
8 - Track,Units,2002,1,0
8 - Track,Units,2003,1,0
8 - Track,Units,2004,1,0
8 - Track,Units,2005,1,0
8 - Track,Units,2006,1,0
8 - Track,Units,2007,1,0
8 - Track,Units,2008,1,0
8 - Track,Units,2009,1,0
8 - Track,Units,2010,1,0
8 - Track,Units,2011,1,0
8 - Track,Units,2012,1,
8 - Track,Units,2013,1,
8 - Track,Units,2014,1,
8 - Track,Units,2015,1,
8 - Track,Units,2016,1,
8 - Track,Units,2017,1,
8 - Track,Units,2018,1,
8 - Track,Units,2019,1,
Other Tapes,Units,1973,1,2.2
Other Tapes,Units,1974,1,1.9
Other Tapes,Units,1975,1,1.5
Other Tapes,Units,1976,1,0.7
Other Tapes,Units,1977,1,0
Other Tapes,Units,1978,1,0
Other Tapes,Units,1979,1,0
Other Tapes,Units,1980,1,0
Other Tapes,Units,1981,1,0
Other Tapes,Units,1982,1,0
Other Tapes,Units,1983,1,0
Other Tapes,Units,1984,1,0
Other Tapes,Units,1985,1,0
Other Tapes,Units,1986,1,0
Other Tapes,Units,1987,1,0
Other Tapes,Units,1988,1,0
Other Tapes,Units,1989,1,0
Other Tapes,Units,1990,1,0
Other Tapes,Units,1991,1,0
Other Tapes,Units,1992,1,0
Other Tapes,Units,1993,1,0
Other Tapes,Units,1994,1,0
Other Tapes,Units,1995,1,0
Other Tapes,Units,1996,1,0
Other Tapes,Units,1997,1,0
Other Tapes,Units,1998,1,0
Other Tapes,Units,1999,1,0
Other Tapes,Units,2000,1,0
Other Tapes,Units,2001,1,0
Other Tapes,Units,2002,1,0
Other Tapes,Units,2003,1,0
Other Tapes,Units,2004,1,0
Other Tapes,Units,2005,1,0
Other Tapes,Units,2006,1,0
Other Tapes,Units,2007,1,0
Other Tapes,Units,2008,1,0
Other Tapes,Units,2009,1,0
Other Tapes,Units,2010,1,0
Other Tapes,Units,2011,1,0
Other Tapes,Units,2012,1,
Other Tapes,Units,2013,1,
Other Tapes,Units,2014,1,
Other Tapes,Units,2015,1,
Other Tapes,Units,2016,1,
Other Tapes,Units,2017,1,
Other Tapes,Units,2018,1,
Other Tapes,Units,2019,1,
Music Video (Physical),Units,1973,1,
Music Video (Physical),Units,1974,1,
Music Video (Physical),Units,1975,1,
Music Video (Physical),Units,1976,1,
Music Video (Physical),Units,1977,1,
Music Video (Physical),Units,1978,1,
Music Video (Physical),Units,1979,1,
Music Video (Physical),Units,1980,1,
Music Video (Physical),Units,1981,1,
Music Video (Physical),Units,1982,1,
Music Video (Physical),Units,1983,1,
Music Video (Physical),Units,1984,1,
Music Video (Physical),Units,1985,1,
Music Video (Physical),Units,1986,1,
Music Video (Physical),Units,1987,1,
Music Video (Physical),Units,1988,1,
Music Video (Physical),Units,1989,1,6.1
Music Video (Physical),Units,1990,1,9.2
Music Video (Physical),Units,1991,1,6.1
Music Video (Physical),Units,1992,1,7.6
Music Video (Physical),Units,1993,1,11
Music Video (Physical),Units,1994,1,11.2
Music Video (Physical),Units,1995,1,12.6
Music Video (Physical),Units,1996,1,16.9
Music Video (Physical),Units,1997,1,18.6
Music Video (Physical),Units,1998,1,27.2
Music Video (Physical),Units,1999,1,19.8
Music Video (Physical),Units,2000,1,18.2
Music Video (Physical),Units,2001,1,17.7
Music Video (Physical),Units,2002,1,14.7
Music Video (Physical),Units,2003,1,19.9
Music Video (Physical),Units,2004,1,32.8
Music Video (Physical),Units,2005,1,33.8
Music Video (Physical),Units,2006,1,23.2
Music Video (Physical),Units,2007,1,27.5
Music Video (Physical),Units,2008,1,13.2
Music Video (Physical),Units,2009,1,11.6
Music Video (Physical),Units,2010,1,9.1
Music Video (Physical),Units,2011,1,7.7
Music Video (Physical),Units,2012,1,6.032725467
Music Video (Physical),Units,2013,1,4.814626524
Music Video (Physical),Units,2014,1,4.065323601
Music Video (Physical),Units,2015,1,3.133228006
Music Video (Physical),Units,2016,1,2.495531725
Music Video (Physical),Units,2017,1,1.87712837
Music Video (Physical),Units,2018,1,1.395058021
Music Video (Physical),Units,2019,1,1.32294236
DVD Audio,Units,1973,1,
DVD Audio,Units,1974,1,
DVD Audio,Units,1975,1,
DVD Audio,Units,1976,1,
DVD Audio,Units,1977,1,
DVD Audio,Units,1978,1,
DVD Audio,Units,1979,1,
DVD Audio,Units,1980,1,
DVD Audio,Units,1981,1,
DVD Audio,Units,1982,1,
DVD Audio,Units,1983,1,
DVD Audio,Units,1984,1,
DVD Audio,Units,1985,1,
DVD Audio,Units,1986,1,
DVD Audio,Units,1987,1,
DVD Audio,Units,1988,1,
DVD Audio,Units,1989,1,
DVD Audio,Units,1990,1,
DVD Audio,Units,1991,1,
DVD Audio,Units,1992,1,
DVD Audio,Units,1993,1,
DVD Audio,Units,1994,1,
DVD Audio,Units,1995,1,
DVD Audio,Units,1996,1,
DVD Audio,Units,1997,1,
DVD Audio,Units,1998,1,
DVD Audio,Units,1999,1,
DVD Audio,Units,2000,1,
DVD Audio,Units,2001,1,0.263
DVD Audio,Units,2002,1,0.43
DVD Audio,Units,2003,1,0.4
DVD Audio,Units,2004,1,0.3
DVD Audio,Units,2005,1,0.5
DVD Audio,Units,2006,1,0.1
DVD Audio,Units,2007,1,0.2
DVD Audio,Units,2008,1,0.04
DVD Audio,Units,2009,1,0.1
DVD Audio,Units,2010,1,0.04
DVD Audio,Units,2011,1,0.01
DVD Audio,Units,2012,1,0.008533145
DVD Audio,Units,2013,1,-0.054735168
DVD Audio,Units,2014,1,0.066542722
DVD Audio,Units,2015,1,0.179506738
DVD Audio,Units,2016,1,0.085898932
DVD Audio,Units,2017,1,0.061332251
DVD Audio,Units,2018,1,0.092803246
DVD Audio,Units,2019,1,0.027982262
SACD,Units,1973,1,
SACD,Units,1974,1,
SACD,Units,1975,1,
SACD,Units,1976,1,
SACD,Units,1977,1,
SACD,Units,1978,1,
SACD,Units,1979,1,
SACD,Units,1980,1,
SACD,Units,1981,1,
SACD,Units,1982,1,
SACD,Units,1983,1,
SACD,Units,1984,1,
